"Statistics","Machine Learning","Deep Learning","R Language","Python Language","NLP","Data Engineering",
"statistical models","linear regression","neural network","r","python","nlp","laws",
"statistical modeling","logistic regression","keras","ggplot","flask","natural language processing","ec2",
"probability","K means","theano","shiny","django","topic modeling","amazon redshift",
"normal distribution","random forest","face detection","cran","pandas","Ida","s3",
"poisson distribution","xgboost","neural networks","dplyr","numpy","named entity recognition","docker",
"survival models","svm","convolutional neural network (cnn)","tidyr","scikitlearn","pos tagging","kubernetes",
"hypothesis testing","naïve bayes","recurrent neural network(RNN","lubridate","sklearn","word2vec","scala",
"bayesian inference","pca","object detection","knitr","matplotlib","word embedding","teradata",
"factor analysis","decision trees","yolo","","scipy","Isi","google big query",
"forecasting","svd","gpu","","bokeh","spacy","laws lambda",
"markov chain","ensemble models","cuda","","statsmodel","gensim","laws emr",
"monte carlo","boltzman machine","tensorflow","","","nltk","hive",
"","","Istm","","","nmf","hadoop",
"","","gan","","","doc2vec","sql",
"","","opency","","","cbow","",
"","","","","","bag of words","",
"","","","","","skip gram","",
"","","","","","bert","",
"","","","","","sentiment analysis","",
"","","","","","chat bot","",
